	p.letters$Letters[sort]
wtintact:0h	a
wtintact:6min	c
wtintact:3h	e
wtintact:9h	f
wtintact:24h	d
wtintact:48h	b
wthomogenate:0h	a
wthomogenate:6min	g
wthomogenate:3h	gh
wthomogenate:9h	h
wthomogenate:24h	i
wthomogenate:48h	hi
medium:0h	a
medium:6min	a
medium:3h	a
medium:9h	a
medium:24h	ab
medium:48h	ab
