sulfur,genotype,cpd,isotope,batch,value
4MSB,wt,SFN-Cys,4_2,1,0.005481717
4MSB,wt,SFN-Cys,4_2,2,0.018396173
4MSB,wt,SFN-Cys,4_2,3,0.003367324
4MSB,wt,SFN-Cys,4_2,4,0.028367847
S1500,wt,SFN-GSH,0_0,1,0.071401971
S1500,wt,SFN-GSH,0_0,2,0.03423503
S1500,wt,SFN-GSH,0_0,3,0.058718316
S1500,wt,SFN-GSH,0_0,4,0.074453606
S1500,wt,SFN-GSH,2_0,1,0.006008094
S1500,wt,SFN-GSH,2_0,2,0.001391342
S1500,wt,SFN-GSH,2_0,3,0.004463494
S1500,wt,SFN-GSH,2_0,4,0.001945985
S1500,wt,SFN-GSH,2_2,1,0.005598451
S1500,wt,SFN-GSH,2_2,2,0.00140472
S1500,wt,SFN-GSH,2_2,3,0.002239804
S1500,wt,SFN-GSH,2_2,4,0.003914467
S1500,wt,SFN-GSH,4_2,1,0.000124134
S1500,wt,SFN-GSH,4_2,2,0.00187296
S1500,wt,SFN-GSH,4_2,3,0.001144073
S1500,wt,SFN-GSH,4_2,4,0.000112485
S150,wt,SFN-GSH,0_0,1,0.000121121
S150,wt,SFN-GSH,0_0,2,0.000115664
S150,wt,SFN-GSH,0_0,3,0.000124296
S150,wt,SFN-GSH,0_0,4,0.001944519
S150,wt,SFN-GSH,2_0,1,0.000121121
S150,wt,SFN-GSH,2_0,2,0.000115664
S150,wt,SFN-GSH,2_0,3,0.000882503
S150,wt,SFN-GSH,2_0,4,0.0001124
S150,wt,SFN-GSH,2_2,1,0.000121121
S150,wt,SFN-GSH,2_2,2,0.000115664
S150,wt,SFN-GSH,2_2,3,0.000124296
S150,wt,SFN-GSH,2_2,4,0.0001124
S150,wt,SFN-GSH,4_2,1,0.000121121
S150,wt,SFN-GSH,4_2,2,0.000115664
S150,wt,SFN-GSH,4_2,3,0.000857644
S150,wt,SFN-GSH,4_2,4,0.0001124
4MSB-34S,wt,SFN-GSH,0_0,1,0.018930393
4MSB-34S,wt,SFN-GSH,0_0,2,0.004124417
4MSB-34S,wt,SFN-GSH,0_0,3,0.002899312
4MSB-34S,wt,SFN-GSH,0_0,4,0.003841567
4MSB-34S,wt,SFN-GSH,2_0,1,1.920633861
4MSB-34S,wt,SFN-GSH,2_0,2,0.65886452
4MSB-34S,wt,SFN-GSH,2_0,3,0.397873838
4MSB-34S,wt,SFN-GSH,2_0,4,0.276592794
4MSB-34S,wt,SFN-GSH,2_2,1,0.037927536
4MSB-34S,wt,SFN-GSH,2_2,2,0.018582213
4MSB-34S,wt,SFN-GSH,2_2,3,0.005798623
4MSB-34S,wt,SFN-GSH,2_2,4,0.010096247
4MSB-34S,wt,SFN-GSH,4_2,1,1.195444958
4MSB-34S,wt,SFN-GSH,4_2,2,0.475945861
4MSB-34S,wt,SFN-GSH,4_2,3,0.229093339
4MSB-34S,wt,SFN-GSH,4_2,4,0.140792722
4MSB,wt,SFN-GSH,0_0,1,4.913517486
4MSB,wt,SFN-GSH,0_0,2,1.389629204
4MSB,wt,SFN-GSH,0_0,3,0.317460317
4MSB,wt,SFN-GSH,0_0,4,4.203988735
4MSB,wt,SFN-GSH,2_0,1,0.582256385
4MSB,wt,SFN-GSH,2_0,2,0.158209589
4MSB,wt,SFN-GSH,2_0,3,0.034001504
4MSB,wt,SFN-GSH,2_0,4,0.477094511
4MSB,wt,SFN-GSH,2_2,1,0.236387579
4MSB,wt,SFN-GSH,2_2,2,0.078755105
4MSB,wt,SFN-GSH,2_2,3,0.015057657
4MSB,wt,SFN-GSH,2_2,4,0.231385497
4MSB,wt,SFN-GSH,4_2,1,0.029337907
4MSB,wt,SFN-GSH,4_2,2,0.003034807
4MSB,wt,SFN-GSH,4_2,3,0.003314379
4MSB,wt,SFN-GSH,4_2,4,0.028185769
S1500,wt,SFN-rEC,0_0,1,0.001725465
S1500,wt,SFN-rEC,0_0,2,0.000133783
S1500,wt,SFN-rEC,0_0,3,0.000161137
S1500,wt,SFN-rEC,0_0,4,0.002339681
S1500,wt,SFN-rEC,2_0,1,0.000124134
S1500,wt,SFN-rEC,2_0,2,0.000133783
S1500,wt,SFN-rEC,2_0,3,0.000161137
S1500,wt,SFN-rEC,2_0,4,0.000112485
S1500,wt,SFN-rEC,2_2,1,0.000124134
S1500,wt,SFN-rEC,2_2,2,0.000133783
S1500,wt,SFN-rEC,2_2,3,0.000161137
S1500,wt,SFN-rEC,2_2,4,0.000112485
S1500,wt,SFN-rEC,4_2,1,0.002147521
S1500,wt,SFN-rEC,4_2,2,0.004642265
S1500,wt,SFN-rEC,4_2,3,0.001643597
S1500,wt,SFN-rEC,4_2,4,0.000112485
S150,wt,SFN-rEC,0_0,1,0.000121121
S150,wt,SFN-rEC,0_0,2,0.000115664
S150,wt,SFN-rEC,0_0,3,0.000124296
S150,wt,SFN-rEC,0_0,4,0.0001124
S150,wt,SFN-rEC,2_0,1,0.000121121
S150,wt,SFN-rEC,2_0,2,0.000115664
S150,wt,SFN-rEC,2_0,3,0.000124296
S150,wt,SFN-rEC,2_0,4,0.0001124
S150,wt,SFN-rEC,2_2,1,0.000121121
S150,wt,SFN-rEC,2_2,2,0.000115664
S150,wt,SFN-rEC,2_2,3,0.000124296
S150,wt,SFN-rEC,2_2,4,0.0001124
S150,wt,SFN-rEC,4_2,1,0.002119619
S150,wt,SFN-rEC,4_2,2,0.004418381
S150,wt,SFN-rEC,4_2,3,0.003443004
S150,wt,SFN-rEC,4_2,4,0.003518119
4MSB-34S,wt,SFN-rEC,0_0,1,0.027287534
4MSB-34S,wt,SFN-rEC,0_0,2,0.022200384
4MSB-34S,wt,SFN-rEC,0_0,3,0.017348144
4MSB-34S,wt,SFN-rEC,0_0,4,0.010082379
4MSB-34S,wt,SFN-rEC,2_0,1,0.543280912
4MSB-34S,wt,SFN-rEC,2_0,2,0.511442653
4MSB-34S,wt,SFN-rEC,2_0,3,0.403231002
4MSB-34S,wt,SFN-rEC,2_0,4,0.341275345
4MSB-34S,wt,SFN-rEC,2_2,1,0.00416522
4MSB-34S,wt,SFN-rEC,2_2,2,0.002069654
4MSB-34S,wt,SFN-rEC,2_2,3,0.005369095
4MSB-34S,wt,SFN-rEC,2_2,4,0.003841567
4MSB-34S,wt,SFN-rEC,4_2,1,0.226283609
4MSB-34S,wt,SFN-rEC,4_2,2,0.153660607
4MSB-34S,wt,SFN-rEC,4_2,3,0.156300335
4MSB-34S,wt,SFN-rEC,4_2,4,0.126979724
4MSB,wt,SFN-rEC,0_0,1,0.892892142
4MSB,wt,SFN-rEC,0_0,2,0.914026302
4MSB,wt,SFN-rEC,0_0,3,0.347586222
4MSB,wt,SFN-rEC,0_0,4,1.280061178
4MSB,wt,SFN-rEC,2_0,1,0.06051326
4MSB,wt,SFN-rEC,2_0,2,0.066203744
4MSB,wt,SFN-rEC,2_0,3,0.020225124
4MSB,wt,SFN-rEC,2_0,4,0.101672695
4MSB,wt,SFN-rEC,2_2,1,0.060865438
4MSB,wt,SFN-rEC,2_2,2,0.044435563
4MSB,wt,SFN-rEC,2_2,3,0.023613626
4MSB,wt,SFN-rEC,2_2,4,0.071969605
4MSB,wt,SFN-rEC,4_2,1,0.001087156
4MSB,wt,SFN-rEC,4_2,2,0.009516554
4MSB,wt,SFN-rEC,4_2,3,0.00489215
4MSB,wt,SFN-rEC,4_2,4,0.007307422
