	p.letters$Letters[sort]
wtintact:0h	ab
wtintact:6min	b
wtintact:3h	ab
wtintact:9h	bc
wtintact:24h	cd
wtintact:48h	d
wthomogenate:0h	ab
wthomogenate:6min	e
wthomogenate:3h	ef
wthomogenate:9h	fg
wthomogenate:24h	g
wthomogenate:48h	g
medium:0h	ab
medium:6min	a
medium:3h	b
medium:9h	ab
medium:24h	a
medium:48h	a
