group	estim	cpd	letters	logFC
S0:bglu28bglu30	0.52695904672142	G13	f	2.78267310554924
S1500:wt	0.421316768570267	G14	cd	0
S1500:bglu28bglu30	0.343984161680994	G14	c	-0.292563197489123
S150:wt	0.15409622873397	G14	b	-1.45107378230045
S150:bglu28bglu30	0.510419116499252	G14	d	0.276777025864568
S15:wt	0.000597899991426352	G14	a	-9.46078543131486
S15:bglu28bglu30	0.692114806316086	G14	e	0.71610603158393
S0:wt	0.00234322362238744	G14	a	-7.49026688421046
S0:bglu28bglu30	0.738525548837056	G14	e	0.809742494137609
S1500:wt	1.39948716873958	G15	c	0
S1500:bglu28bglu30	1.91496318226435	G15	d	0.452418395111932
S150:wt	0.990239397979504	G15	b	-0.499049004479589
S150:bglu28bglu30	1.82893558469918	G15	d	0.386106004554819
S15:wt	0.000250624236045038	G15	a	-12.4470847051684
S15:bglu28bglu30	1.21849893789508	G15	bc	-0.199793266021457
S0:wt	0.00790008096247305	G15	a	-7.46881510566935
S0:bglu28bglu30	1.19506064097471	G15	bc	-0.227814432804624
S1500:wt	2.18475546010285	G16	e	0
S1500:bglu28bglu30	1.62646873248207	G16	d	-0.425728719737161
S150:wt	1.173605887076	G16	cd	-0.896523794731347
S150:bglu28bglu30	0.921263353414023	G16	c	-1.24578627689288
S15:wt	0.00025062423604504	G16	a	-13.0896582533729
S15:bglu28bglu30	0.375853129770981	G16	b	-2.53923088528145
S0:wt	0.00556747986525331	G16	a	-8.61623165689702
S0:bglu28bglu30	0.473046513849606	G16	b	-2.20741785438967
S1500:wt	0.170505069526645	G17	d	0
S1500:bglu28bglu30	0.222416902700886	G17	e	0.383451795982222
S150:wt	0.0489531260207058	G17	b	-1.8003417400102
S150:bglu28bglu30	0.0841049891958288	G17	c	-1.01955134437903
S15:wt	0.00025062423604504	G17	a	-9.410072985411
S15:bglu28bglu30	0.0565471908306889	G17	bc	-1.59228737424237
S0:wt	0.000250549869648141	G17	a	-9.41050113216313
S0:bglu28bglu30	0.0677739934497644	G17	bc	-1.33101094763994
S1500:wt	5.60899022265097	G18	c	0
S1500:bglu28bglu30	6.08042356952462	G18	c	0.116430758840505
S150:wt	2.39321994281911	G18	b	-1.22878807797423
S150:bglu28bglu30	2.41135036316098	G18	b	-1.2178997820361
S15:wt	0.00550808416196733	G18	a	-9.99197474922715
S15:bglu28bglu30	0.0334798759344507	G18	a	-7.38830307621427
S0:wt	0.00874271303184008	G18	a	-9.32544430764407
S0:bglu28bglu30	0.0673303070305696	G18	a	-6.38034121432623
S1500:wt	19.2248358061591	G19	d	0
S1500:bglu28bglu30	22.0620403817509	G19	e	0.198594946453937
S150:wt	22.1306789646192	G19	e	0.203076436808403
S150:bglu28bglu30	22.5663647714772	G19	e	0.231202756090241
S15:wt	0.0354551642983199	G19	a	-9.08275977963095
S15:bglu28bglu30	2.11811573510254	G19	c	-3.18211795028171
S0:wt	0.000250549869648156	G19	a	-16.2275139638428
S0:bglu28bglu30	0.770752857483199	G19	b	-4.64055913338863
S1500:wt	5.40336494874336	G20	d	0
S1500:bglu28bglu30	6.61300126792348	G20	e	0.291447051844237
S150:wt	4.94235393085864	G20	d	-0.128659797986838
S150:bglu28bglu30	4.82030812941808	G20	d	-0.164732755285073
S15:wt	0.170542787516376	G20	ab	-4.98565247849851
S15:bglu28bglu30	0.698469010442989	G20	c	-2.95159011342751
S0:wt	0.0925986073321504	G20	a	-5.86672382036351
S0:bglu28bglu30	0.328678454234878	G20	b	-4.03910933428769
