sulfur,genotype,cpd,batch,value
S1500,bglu28bglu30,G18,3,7.215536327
S1500,bglu28bglu30,G18,4,6.254172667
S1500,bglu28bglu30,G18,5,5.059804286
S150,wt,G18,1,4.653940558
S150,wt,G18,2,1.24889574
S150,wt,G18,3,2.160680561
S150,wt,G18,4,2.104608085
S150,wt,G18,5,2.370140843
S150,bglu28bglu30,G18,1,2.357897683
S150,bglu28bglu30,G18,2,1.263662244
S150,bglu28bglu30,G18,3,3.135077345
S150,bglu28bglu30,G18,4,2.274965195
S150,bglu28bglu30,G18,5,3.333092283
S15,wt,G18,1,0.003383816
S15,wt,G18,2,0.011048138
S15,wt,G18,3,0.001676475
S15,wt,G18,4,0.006103198
S15,wt,G18,5,0.007873704
S15,bglu28bglu30,G18,1,0.014409509
S15,bglu28bglu30,G18,2,0.101325991
S15,bglu28bglu30,G18,3,0.026277036
S15,bglu28bglu30,G18,4,0.019469777
S15,bglu28bglu30,G18,5,0.030583791
S0,wt,G18,1,0.009159316
S0,wt,G18,2,0.00405923
S0,wt,G18,3,0.005914883
S0,wt,G18,4,0.005115419
S0,wt,G18,5,0.025493086
S0,bglu28bglu30,G18,1,0.01440961
S0,bglu28bglu30,G18,2,0.09823987
S0,bglu28bglu30,G18,3,0.292906119
S0,bglu28bglu30,G18,4,0.014145642
S0,bglu28bglu30,G18,5,0.041529671
S1500,wt,G19,1,15.8572774
S1500,wt,G19,2,19.71764376
S1500,wt,G19,3,20.46032896
S1500,wt,G19,4,18.91949426
S1500,wt,G19,5,21.41402066
S1500,bglu28bglu30,G19,1,18.55098738
S1500,bglu28bglu30,G19,2,25.22291372
S1500,bglu28bglu30,G19,3,21.70943811
S1500,bglu28bglu30,G19,4,23.51975927
S1500,bglu28bglu30,G19,5,21.59218599
S150,wt,G19,1,23.25589165
S150,wt,G19,2,19.86768579
S150,wt,G19,3,23.15297099
S150,wt,G19,4,21.44884068
S150,wt,G19,5,23.02877471
S150,bglu28bglu30,G19,1,20.19618207
S150,bglu28bglu30,G19,2,19.74638247
S150,bglu28bglu30,G19,3,25.63864646
S150,bglu28bglu30,G19,4,21.71681448
S150,bglu28bglu30,G19,5,25.91558644
S15,wt,G19,1,0.013893812
S15,wt,G19,2,0.051852302
S15,wt,G19,3,0.022158629
S15,wt,G19,4,0.024650966
S15,wt,G19,5,0.084117435
S15,bglu28bglu30,G19,1,2.375387592
S15,bglu28bglu30,G19,2,2.501375358
S15,bglu28bglu30,G19,3,0.639198551
S15,bglu28bglu30,G19,4,2.845054186
S15,bglu28bglu30,G19,5,2.781700776
S0,wt,G19,1,0.000232937
S0,wt,G19,2,0.000247756
S0,wt,G19,3,0.000256912
S0,wt,G19,4,0.000258917
S0,wt,G19,5,0.000256702
S0,bglu28bglu30,G19,1,0.444472088
S0,bglu28bglu30,G19,2,0.56249849
S0,bglu28bglu30,G19,3,1.215121635
S0,bglu28bglu30,G19,4,0.861931668
S0,bglu28bglu30,G19,5,0.887763209
S1500,wt,G20,1,5.264624547
S1500,wt,G20,2,5.075408414
S1500,wt,G20,3,5.378252261
S1500,wt,G20,4,5.416478768
S1500,wt,G20,5,5.899006367
S1500,bglu28bglu30,G20,1,5.990612409
S1500,bglu28bglu30,G20,2,7.568661185
S1500,bglu28bglu30,G20,3,7.241223833
S1500,bglu28bglu30,G20,4,6.047364188
S1500,bglu28bglu30,G20,5,6.295554312
S150,wt,G20,1,7.583766739
S150,wt,G20,2,3.15539996
S150,wt,G20,3,4.618570919
S150,wt,G20,4,5.171268493
S150,wt,G20,5,4.675826171
S150,bglu28bglu30,G20,1,5.039790943
S150,bglu28bglu30,G20,2,3.659046025
S150,bglu28bglu30,G20,3,5.188843308
S150,bglu28bglu30,G20,4,5.12119506
S150,bglu28bglu30,G20,5,5.19329343
S15,wt,G20,1,0.064757281
S15,wt,G20,2,0.218784618
S15,wt,G20,3,0.156821045
S15,wt,G20,4,0.111238195
S15,wt,G20,5,0.375882228
S15,bglu28bglu30,G20,1,0.580381624
S15,bglu28bglu30,G20,2,0.9200036
S15,bglu28bglu30,G20,3,0.375946176
S15,bglu28bglu30,G20,4,0.70263336
S15,bglu28bglu30,G20,5,1.012740608
S0,wt,G20,1,0.124457781
S0,wt,G20,2,0.077194503
S0,wt,G20,3,0.096163663
S0,wt,G20,4,0.067286254
S0,wt,G20,5,0.103283579
S0,bglu28bglu30,G20,1,0.340562125
S0,bglu28bglu30,G20,2,0.291257305
S0,bglu28bglu30,G20,3,0.385657713
S0,bglu28bglu30,G20,4,0.303265948
S0,bglu28bglu30,G20,5,0.326675491
