sulfur,genotype,cpd,batch,value
S0,bglu28bglu30,G04,3,0.087442909
S0,bglu28bglu30,G04,4,0.017387201
S0,bglu28bglu30,G04,5,0.043342534
S1500,wt,G05,1,0.75932671
S1500,wt,G05,2,1.057835397
S1500,wt,G05,3,1.067854066
S1500,wt,G05,4,0.955091925
S1500,wt,G05,5,0.870912062
S1500,bglu28bglu30,G05,1,0.952036379
S1500,bglu28bglu30,G05,2,0.914493897
S1500,bglu28bglu30,G05,3,1.11005993
S1500,bglu28bglu30,G05,4,0.97156392
S1500,bglu28bglu30,G05,5,1.017219183
S150,wt,G05,1,0.756406437
S150,wt,G05,2,0.242747854
S150,wt,G05,3,0.284460525
S150,wt,G05,4,0.347685259
S150,wt,G05,5,0.412798143
S150,bglu28bglu30,G05,1,0.565093734
S150,bglu28bglu30,G05,2,0.387633799
S150,bglu28bglu30,G05,3,0.583231892
S150,bglu28bglu30,G05,4,0.42123588
S150,bglu28bglu30,G05,5,0.584185224
S15,wt,G05,1,0.000257207
S15,wt,G05,2,0.000239937
S15,wt,G05,3,0.000253091
S15,wt,G05,4,0.000258884
S15,wt,G05,5,0.000244275
S15,bglu28bglu30,G05,1,0.390225459
S15,bglu28bglu30,G05,2,0.230639598
S15,bglu28bglu30,G05,3,0.256475577
S15,bglu28bglu30,G05,4,0.17425548
S15,bglu28bglu30,G05,5,0.26962767
S0,wt,G05,1,0.006859017
S0,wt,G05,2,0.000247756
S0,wt,G05,3,0.000256912
S0,wt,G05,4,0.000258917
S0,wt,G05,5,0.031692339
S0,bglu28bglu30,G05,1,0.311075079
S0,bglu28bglu30,G05,2,0.221113596
S0,bglu28bglu30,G05,3,0.291540322
S0,bglu28bglu30,G05,4,0.143135367
S0,bglu28bglu30,G05,5,0.232765504
S1500,wt,G06,1,4.843818701
S1500,wt,G06,2,5.673759501
S1500,wt,G06,3,5.930589173
S1500,wt,G06,4,4.994644422
S1500,wt,G06,5,5.033575406
S1500,bglu28bglu30,G06,1,5.206309099
S1500,bglu28bglu30,G06,2,6.10771943
S1500,bglu28bglu30,G06,3,6.541552373
S1500,bglu28bglu30,G06,4,5.805454954
S1500,bglu28bglu30,G06,5,5.110729797
S150,wt,G06,1,4.024400452
S150,wt,G06,2,1.842902478
S150,wt,G06,3,1.950449659
S150,wt,G06,4,2.178828246
S150,wt,G06,5,2.3600644
S150,bglu28bglu30,G06,1,2.744619914
S150,bglu28bglu30,G06,2,1.944771798
S150,bglu28bglu30,G06,3,3.313356678
S150,bglu28bglu30,G06,4,2.20002871
S150,bglu28bglu30,G06,5,3.282667201
S15,wt,G06,1,0.000257207
S15,wt,G06,2,0.021881053
S15,wt,G06,3,0.01317997
S15,wt,G06,4,0.000258884
S15,wt,G06,5,0.01505831
S15,bglu28bglu30,G06,1,0.868498153
S15,bglu28bglu30,G06,2,0.802433152
S15,bglu28bglu30,G06,3,0.67583392
S15,bglu28bglu30,G06,4,0.530779417
S15,bglu28bglu30,G06,5,0.599398372
S0,wt,G06,1,0.038890698
S0,wt,G06,2,0.016982171
S0,wt,G06,3,0.024332639
S0,wt,G06,4,0.000258917
S0,wt,G06,5,0.084443955
S0,bglu28bglu30,G06,1,0.480766515
S0,bglu28bglu30,G06,2,0.55287971
S0,bglu28bglu30,G06,3,0.835729457
S0,bglu28bglu30,G06,4,0.270280869
S0,bglu28bglu30,G06,5,0.510898687
S1500,wt,G07,1,0.105400702
S1500,wt,G07,2,0.07497568
S1500,wt,G07,3,0.064302741
S1500,wt,G07,4,0.068258464
S1500,wt,G07,5,0.103830783
S1500,bglu28bglu30,G07,1,0.074155775
S1500,bglu28bglu30,G07,2,0.083993549
S1500,bglu28bglu30,G07,3,0.056686361
S1500,bglu28bglu30,G07,4,0.092987484
S1500,bglu28bglu30,G07,5,0.082013486
S150,wt,G07,1,0.024257246
S150,wt,G07,2,0.00025583
S150,wt,G07,3,0.008057542
S150,wt,G07,4,0.007976159
S150,wt,G07,5,0.002706348
S150,bglu28bglu30,G07,1,0.117643376
S150,bglu28bglu30,G07,2,0.053506629
S150,bglu28bglu30,G07,3,0.026907561
S150,bglu28bglu30,G07,4,0.029096471
S150,bglu28bglu30,G07,5,0.042655852
S15,wt,G07,1,0.000257207
S15,wt,G07,2,0.000239937
S15,wt,G07,3,0.000253091
