time,genotype,treatment,cpd,batch,value,relative
48h,wt,BSO_4MSB,4MSB-NH2,3,2.506124101,91.85944731
48h,wt,BSO_4MSB,4MSB-NH2,4,2.874276791,105.3537123
00h,wt,4MSB,GSH,1,1.073480719,60.15196062
00h,wt,4MSB,GSH,2,1.538824808,86.2272863
00h,wt,4MSB,GSH,3,2.762562457,154.7988196
00h,wt,4MSB,GSH,4,1.763590731,98.82193348
09h,wt,4MSB,GSH,1,0.188556319,10.56565999
09h,wt,4MSB,GSH,2,0.142353647,7.97671611
09h,wt,4MSB,GSH,3,1.170118473,65.56700933
09h,wt,4MSB,GSH,4,1.037800644,58.15264529
24h,wt,4MSB,GSH,1,0.357198292,20.01542943
24h,wt,4MSB,GSH,2,0.597400097,33.47501869
24h,wt,4MSB,GSH,3,2.832278444,158.7053204
24h,wt,4MSB,GSH,4,1.563044166,87.58440598
48h,wt,4MSB,GSH,1,0.720885475,40.39446071
48h,wt,4MSB,GSH,2,1.854828748,103.9344106
48h,wt,4MSB,GSH,3,2.173232497,121.776007
48h,wt,4MSB,GSH,4,1.733304711,97.12487136
00h,pad2,4MSB,GSH,1,0.073538269,4.120680518
00h,pad2,4MSB,GSH,2,0.343019471,19.22092626
00h,pad2,4MSB,GSH,3,1.078858913,60.45332507
00h,pad2,4MSB,GSH,4,0.62664671,35.11383816
09h,pad2,4MSB,GSH,1,0.095856583,5.371276144
09h,pad2,4MSB,GSH,2,0.008324146,0.466439406
09h,pad2,4MSB,GSH,3,0.082498519,4.62276366
09h,pad2,4MSB,GSH,4,0.018875946,1.057704295
24h,pad2,4MSB,GSH,1,0.014773363,0.827818097
24h,pad2,4MSB,GSH,2,0.028925815,1.620843751
24h,pad2,4MSB,GSH,3,0.080096779,4.488183359
24h,pad2,4MSB,GSH,4,0.052043177,2.916213646
48h,pad2,4MSB,GSH,1,0.059491404,3.333571378
48h,pad2,4MSB,GSH,2,0.00686395,0.384618043
48h,pad2,4MSB,GSH,3,0.242172175,13.56999791
48h,pad2,4MSB,GSH,4,0.07670915,4.298359237
00h,wt,BSO_4MSB,GSH,1,0.179593946,10.06345783
00h,wt,BSO_4MSB,GSH,2,0.148497886,8.32100552
00h,wt,BSO_4MSB,GSH,3,0.14131986,7.918788376
00h,wt,BSO_4MSB,GSH,4,0.145907619,8.1758612
09h,wt,BSO_4MSB,GSH,1,0.004312403,0.241643381
09h,wt,BSO_4MSB,GSH,2,0.004849224,0.271723883
09h,wt,BSO_4MSB,GSH,3,0.001742128,0.097619289
09h,wt,BSO_4MSB,GSH,4,0.000122078,0.006840562
24h,wt,BSO_4MSB,GSH,1,0.008368608,0.4689308
24h,wt,BSO_4MSB,GSH,2,0.00640381,0.358834336
24h,wt,BSO_4MSB,GSH,3,0.061587921,3.451048643
24h,wt,BSO_4MSB,GSH,4,0.042151426,2.361934286
48h,wt,BSO_4MSB,GSH,1,0.009556128,0.535472922
48h,wt,BSO_4MSB,GSH,2,0.013652368,0.765003657
48h,wt,BSO_4MSB,GSH,3,0.056671661,3.175568482
48h,wt,BSO_4MSB,GSH,4,0.032122335,1.799959118
00h,wt,4MSB,RA,1,0.056674666,1.804331483
00h,wt,4MSB,RA,2,0.060705753,1.932667785
00h,wt,4MSB,RA,3,0.012154053,0.386944339
00h,wt,4MSB,RA,4,0.05681003,1.808641008
09h,wt,4MSB,RA,1,1.860921663,59.24551091
09h,wt,4MSB,RA,2,0.740397014,23.57176028
09h,wt,4MSB,RA,3,2.219185848,70.65144225
09h,wt,4MSB,RA,4,0.013578266,0.432286488
24h,wt,4MSB,RA,1,3.123164091,99.43108081
24h,wt,4MSB,RA,2,3.002924212,95.6030459
24h,wt,4MSB,RA,3,2.971460914,94.6013599
24h,wt,4MSB,RA,4,3.46658693,110.3645134
48h,wt,4MSB,RA,1,2.768022191,88.12455259
48h,wt,4MSB,RA,2,2.510710439,79.9326085
48h,wt,4MSB,RA,3,1.534496555,48.85322915
48h,wt,4MSB,RA,4,2.413922079,76.85119139
00h,pad2,4MSB,RA,1,0.045645564,1.453201832
00h,pad2,4MSB,RA,2,0.182627568,5.814249892
00h,pad2,4MSB,RA,3,0.008979439,0.285875248
00h,pad2,4MSB,RA,4,0.012124672,0.386008934
09h,pad2,4MSB,RA,1,0.381750999,12.1536728
09h,pad2,4MSB,RA,2,0.287754443,9.161137387
09h,pad2,4MSB,RA,3,0.941947212,29.98844333
09h,pad2,4MSB,RA,4,0.83663327,26.63560026
24h,pad2,4MSB,RA,1,1.681266177,53.52588217
24h,pad2,4MSB,RA,2,1.829029733,58.23017871
24h,pad2,4MSB,RA,3,2.496864466,79.49179911
24h,pad2,4MSB,RA,4,2.221527229,70.72598398
48h,pad2,4MSB,RA,1,1.526205321,48.58926401
48h,pad2,4MSB,RA,2,1.607815904,51.18747157
48h,pad2,4MSB,RA,3,3.056026148,97.29363364
48h,pad2,4MSB,RA,4,3.187355646,101.4747249
00h,wt,BSO_4MSB,RA,1,0.046726185,1.487605182
00h,wt,BSO_4MSB,RA,2,0.08000399,2.54705899
00h,wt,BSO_4MSB,RA,3,0.007854165,0.250050291
00h,wt,BSO_4MSB,RA,4,0.027854584,0.886796622
09h,wt,BSO_4MSB,RA,1,0.357557542,11.38343416
09h,wt,BSO_4MSB,RA,2,0.501758173,15.97429915
09h,wt,BSO_4MSB,RA,3,0.579215734,18.44028836
09h,wt,BSO_4MSB,RA,4,0.695771461,22.15103221
24h,wt,BSO_4MSB,RA,1,2.09834691,66.80433531
24h,wt,BSO_4MSB,RA,2,2.686134617,85.51752659
24h,wt,BSO_4MSB,RA,3,2.067840599,65.83311657
24h,wt,BSO_4MSB,RA,4,1.92920711,61.41949075
48h,wt,BSO_4MSB,RA,1,4.396760016,139.978108
48h,wt,BSO_4MSB,RA,2,3.860762873,122.9137548
48h,wt,BSO_4MSB,RA,3,2.683973785,85.44873292
48h,wt,BSO_4MSB,RA,4,3.009613473,95.81600956
00h,wt,4MSB,SFN-Cys,1,0.000842466,0.44016868
00h,wt,4MSB,SFN-Cys,2,0.007726742,4.037039674
00h,wt,4MSB,SFN-Cys,3,0.004886731,2.553201133
00h,wt,4MSB,SFN-Cys,4,0.002883218,1.506413158
09h,wt,4MSB,SFN-Cys,1,0.065697742,34.32551466
09h,wt,4MSB,SFN-Cys,2,0.030593589,15.98442615
09h,wt,4MSB,SFN-Cys,3,0.117250384,61.26054979
09h,wt,4MSB,SFN-Cys,4,0.057633733,30.11226091
24h,wt,4MSB,SFN-Cys,1,0.188880133,98.68539787
24h,wt,4MSB,SFN-Cys,2,0.191271955,99.93506839
24h,wt,4MSB,SFN-Cys,3,0.231541095,120.9747407
24h,wt,4MSB,SFN-Cys,4,0.153891744,80.40479304
48h,wt,4MSB,SFN-Cys,1,0.34312941,179.2769937
48h,wt,4MSB,SFN-Cys,2,0.290871959,151.9737127
48h,wt,4MSB,SFN-Cys,3,0.249967257,130.6019739
48h,wt,4MSB,SFN-Cys,4,0.191343251,99.97231867
00h,pad2,4MSB,SFN-Cys,1,0.005760696,3.00982709
00h,pad2,4MSB,SFN-Cys,2,0.000776042,0.405463365
00h,pad2,4MSB,SFN-Cys,3,0.004724098,2.46822936
00h,pad2,4MSB,SFN-Cys,4,0.004361234,2.278641685
09h,pad2,4MSB,SFN-Cys,1,0.019814012,10.35235224
09h,pad2,4MSB,SFN-Cys,2,0.013365903,6.983368112
09h,pad2,4MSB,SFN-Cys,3,0.074974763,39.17253869
09h,pad2,4MSB,SFN-Cys,4,0.072619887,37.94217182
24h,pad2,4MSB,SFN-Cys,1,0.112638795,58.85110396
24h,pad2,4MSB,SFN-Cys,2,0.11539142,60.28928543
24h,pad2,4MSB,SFN-Cys,3,0.247733573,129.4349271
24h,pad2,4MSB,SFN-Cys,4,0.193422453,101.0586528
48h,pad2,4MSB,SFN-Cys,1,0.127317776,66.52052403
48h,pad2,4MSB,SFN-Cys,2,0.087528664,45.73165484
48h,pad2,4MSB,SFN-Cys,3,0.37769752,197.3380128
48h,pad2,4MSB,SFN-Cys,4,0.304871388,159.288083
00h,wt,BSO_4MSB,SFN-Cys,1,0.004209271,2.199244355
00h,wt,BSO_4MSB,SFN-Cys,2,0.004569444,2.387426233
00h,wt,BSO_4MSB,SFN-Cys,3,0.003825682,1.998828157
00h,wt,BSO_4MSB,SFN-Cys,4,0.012911595,6.746002779
09h,wt,BSO_4MSB,SFN-Cys,1,0.054674553,28.56615973
09h,wt,BSO_4MSB,SFN-Cys,2,0.046340574,24.2118529
09h,wt,BSO_4MSB,SFN-Cys,3,0.073165317,38.2271459
09h,wt,BSO_4MSB,SFN-Cys,4,0.076877442,40.16664346
24h,wt,BSO_4MSB,SFN-Cys,1,0.204099346,106.6370765
24h,wt,BSO_4MSB,SFN-Cys,2,0.202272309,105.6824928
24h,wt,BSO_4MSB,SFN-Cys,3,0.169146301,88.37493808
24h,wt,BSO_4MSB,SFN-Cys,4,0.223154923,116.5931646
48h,wt,BSO_4MSB,SFN-Cys,1,0.534602382,279.3170883
48h,wt,BSO_4MSB,SFN-Cys,2,0.271918457,142.0709563
48h,wt,BSO_4MSB,SFN-Cys,3,0.347409765,181.5133778
48h,wt,BSO_4MSB,SFN-Cys,4,0.455738963,238.1128189
00h,wt,4MSB,SFN-GSH,1,0.009247453,0.556252552
00h,wt,4MSB,SFN-GSH,2,0.01095065,0.658703248
00h,wt,4MSB,SFN-GSH,3,0.004600863,0.276750991
00h,wt,4MSB,SFN-GSH,4,0.006556337,0.394376648
09h,wt,4MSB,SFN-GSH,1,1.665406025,100.177464
09h,wt,4MSB,SFN-GSH,2,0.633229586,38.09001113
09h,wt,4MSB,SFN-GSH,3,1.47060597,88.45985571
09h,wt,4MSB,SFN-GSH,4,0.667934251,40.17756532
24h,wt,4MSB,SFN-GSH,1,2.463564379,148.1882665
24h,wt,4MSB,SFN-GSH,2,1.647720312,99.11363343
24h,wt,4MSB,SFN-GSH,3,1.39086896,83.66351693
24h,wt,4MSB,SFN-GSH,4,1.147669406,69.03458309
48h,wt,4MSB,SFN-GSH,1,0.996584715,59.9465403
48h,wt,4MSB,SFN-GSH,2,0.438954896,26.40400456
48h,wt,4MSB,SFN-GSH,3,0.129399884,7.783658764
48h,wt,4MSB,SFN-GSH,4,0.653977836,39.33805938
00h,pad2,4MSB,SFN-GSH,1,0.014210394,0.854783313
00h,pad2,4MSB,SFN-GSH,2,0.02173959,1.307679285
00h,pad2,4MSB,SFN-GSH,3,0.010167168,0.611575248
00h,pad2,4MSB,SFN-GSH,4,0.007354111,0.442364303
09h,pad2,4MSB,SFN-GSH,1,0.447921228,26.94334716
09h,pad2,4MSB,SFN-GSH,2,0.232007734,13.95572378
09h,pad2,4MSB,SFN-GSH,3,0.526955664,31.69742472
09h,pad2,4MSB,SFN-GSH,4,0.318772159,19.17477538
24h,pad2,4MSB,SFN-GSH,1,0.927511668,55.79165999
24h,pad2,4MSB,SFN-GSH,2,0.787652453,47.37885183
24h,pad2,4MSB,SFN-GSH,3,0.625104196,37.60125289
24h,pad2,4MSB,SFN-GSH,4,0.577079293,34.71246004
48h,pad2,4MSB,SFN-GSH,1,0.792611317,47.6771373
48h,pad2,4MSB,SFN-GSH,2,0.978275258,58.84519027
48h,pad2,4MSB,SFN-GSH,3,0.761638031,45.8140329
48h,pad2,4MSB,SFN-GSH,4,0.653752049,39.32447787
00h,wt,BSO_4MSB,SFN-GSH,1,0.031997755,1.924728226
00h,wt,BSO_4MSB,SFN-GSH,2,0.017822193,1.072040164
00h,wt,BSO_4MSB,SFN-GSH,3,0.010088237,0.606827378
00h,wt,BSO_4MSB,SFN-GSH,4,0.008677542,0.52197132
09h,wt,BSO_4MSB,SFN-GSH,1,0.344522984,20.7237384
09h,wt,BSO_4MSB,SFN-GSH,2,0.437204019,26.29868586
09h,wt,BSO_4MSB,SFN-GSH,3,0.293553184,17.65780423
09h,wt,BSO_4MSB,SFN-GSH,4,0.214230531,12.88638983
24h,wt,BSO_4MSB,SFN-GSH,1,1.092828381,65.73578708
24h,wt,BSO_4MSB,SFN-GSH,2,1.376664284,82.80907762
24h,wt,BSO_4MSB,SFN-GSH,3,0.620570983,37.32857113
24h,wt,BSO_4MSB,SFN-GSH,4,0.631243594,37.97054982
48h,wt,BSO_4MSB,SFN-GSH,1,1.511144407,90.8983228
