group	estim	cpd	batch	letters	logFC
S30:bglu28bglu30	0.182694933041298	G09	1	d	-0.779359630785104
S3:wt	0.000217605974831465	G09	1	a	-10.4928623681235
S3:bglu28bglu30	0.0748097689004209	G09	1	b	-2.06749767354251
S1500:wt	0.299176859896981	G09	2	c	0
S1500:bglu28bglu30	0.30608960847616	G09	2	c	0.032955474232269
S30:wt	0.0811636305483675	G09	2	ab	-1.88209328783403
S30:bglu28bglu30	0.377655809161442	G09	2	c	0.336073385821118
S3:wt	0.0291792723767793	G09	2	a	-3.35798277966244
S3:bglu28bglu30	0.138166343531531	G09	2	b	-1.11459236608119
S1500:wt	0.101959005604921	G09	3	bc	0
S1500:bglu28bglu30	0.104142157226907	G09	3	bc	0.0305649884054823
S30:wt	0.147827913794209	G09	3	c	0.535929505843096
S30:bglu28bglu30	0.0892148914804134	G09	3	b	-0.19263276243379
S3:wt	0.0190058366438906	G09	3	a	-2.42347476841921
S3:bglu28bglu30	0.152929568416071	G09	3	c	0.584878165793071
S1500:wt	0.213350213746029	G10	1	c	0
S1500:bglu28bglu30	0.268198879592539	G10	1	d	0.330079654449387
S30:wt	0.124608865484738	G10	1	b	-0.775816841194137
S30:bglu28bglu30	0.160720256047164	G10	1	b	-0.408671788334761
S3:wt	0.080002885915131	G10	1	a	-1.41509960804428
S3:bglu28bglu30	0.0704888741780104	G10	1	a	-1.59775608739911
S1500:wt	0.301085819579549	G10	2	b	0
S1500:bglu28bglu30	0.403457123311805	G10	2	bc	0.422240599615779
S30:wt	0.158275443694696	G10	2	a	-0.927737322299634
S30:bglu28bglu30	0.486995011945051	G10	2	c	0.69373223336995
S3:wt	0.145078071990189	G10	2	a	-1.05334528427963
S3:bglu28bglu30	0.175309054669299	G10	2	a	-0.780274249320318
S1500:wt	0.101430308633761	G10	3	ab	0
S1500:bglu28bglu30	0.116427356085436	G10	3	b	0.198941265664807
S30:wt	0.12666185882981	G10	3	b	0.320493345060206
S30:bglu28bglu30	0.112095317725257	G10	3	b	0.144237205416531
S3:wt	0.0604372462778851	G10	3	a	-0.746978978802671
S3:bglu28bglu30	0.150221039208521	G10	3	b	0.566598071738132
S1500:wt	0.765678720049313	G11	1	e	0
S1500:bglu28bglu30	0.939454347818781	G11	1	f	0.295083894414179
S30:wt	0.264317729368399	G11	1	c	-1.53446596369861
S30:bglu28bglu30	0.464006041750549	G11	1	d	-0.722595571511673
S3:wt	0.000102146745289255	G11	1	a	-12.8718802106725
S3:bglu28bglu30	0.0439191103176594	G11	1	b	-4.1238184274409
S1500:wt	0.819426688072605	G11	2	c	0
S1500:bglu28bglu30	1.38442611283167	G11	2	d	0.756601272642854
S30:wt	0.129826421837644	G11	2	b	-2.65803085533704
S30:bglu28bglu30	1.10457308452698	G11	2	cd	0.430802092233932
S3:wt	9.35890124348934e-05	G11	2	a	-13.0959880965201
S3:bglu28bglu30	0.0924625043164846	G11	2	b	-3.14767453787252
S1500:wt	0.266642089071658	G11	3	b	0
S1500:bglu28bglu30	0.316513460922394	G11	3	b	0.247362331230747
S30:wt	0.335510991157993	G11	3	b	0.331455503359422
S30:bglu28bglu30	0.17115547281912	G11	3	b	-0.639597101451814
S3:wt	0.00197406335184243	G11	3	a	-7.07759242586788
S3:bglu28bglu30	0.321415949754357	G11	3	b	0.269536996485161
S1500:wt	1.95184076855876	G12	1	de	0
S1500:bglu28bglu30	2.34735352026648	G12	1	e	0.266199771082489
S30:wt	0.678793430237937	G12	1	c	-1.52379085562971
S30:bglu28bglu30	1.6439908091387	G12	1	d	-0.247633128898504
S3:wt	0.0010884080974422	G12	1	a	-10.8084000521264
S3:bglu28bglu30	0.12532942938363	G12	1	b	-3.96103823468161
S1500:wt	2.34667067645357	G12	2	c	0
S1500:bglu28bglu30	4.03482213380899	G12	2	d	0.781889683596087
S30:wt	0.324037239965805	G12	2	b	-2.85638386387953
S30:bglu28bglu30	5.60006449892809	G12	2	d	1.25482805025836
S3:wt	0.001632347294574	G12	2	a	-10.489451643408
S3:bglu28bglu30	0.170176682998354	G12	2	b	-3.78551011054262
S1500:wt	0.640644374988294	G12	3	b	0
S1500:bglu28bglu30	0.515690076774477	G12	3	b	-0.313019446968128
S30:wt	0.690418138883134	G12	3	b	0.107946636406628
S30:bglu28bglu30	0.598499310676308	G12	3	b	-0.0981741460067199
S3:wt	0.0013972184145742	G12	3	a	-8.84082235942012
S3:bglu28bglu30	1.37368755444439	G12	3	c	1.10045826348373
S1500:wt	0.130773026960717	G15	1	a	0
S1500:bglu28bglu30	0.166281138711575	G15	1	a	0.346559529338472
S30:wt	0.12828882302931	G15	1	a	-0.0276695202371883
S30:bglu28bglu30	0.14587357633175	G15	1	a	0.157653572364906
S3:wt	0.184545615816994	G15	1	a	0.49691246090478
S3:bglu28bglu30	0.143297468313664	G15	1	a	0.131948117723891
S1500:wt	0.247168471045582	G15	2	a	0
S1500:bglu28bglu30	0.308519087086373	G15	2	a	0.319865023093193
S30:wt	0.248879629061287	G15	2	a	0.0099534257870489
S30:bglu28bglu30	0.268107338869369	G15	2	a	0.117315986618288
S3:wt	0.31183669772709	G15	2	a	0.335295994050967
S3:bglu28bglu30	0.2912399828461	G15	2	a	0.236713705391331
S1500:wt	0.132615257800311	G15	3	a	0
S1500:bglu28bglu30	0.137975089303183	G15	3	a	0.0571610477238405
S30:wt	0.143194069492982	G15	3	a	0.11072497179072
S30:bglu28bglu30	0.164582026160612	G15	3	a	0.311560017493642
S3:wt	0.139312996918117	G15	3	a	0.0710830858919977
S3:bglu28bglu30	0.173101006532177	G15	3	a	0.384367342004466
S1500:wt	0.275029118235653	G17	1	d	0
S1500:bglu28bglu30	0.282011979271262	G17	1	d	0.0361720769699496
S30:wt	0.126887001468185	G17	1	c	-1.1160400851006
S30:bglu28bglu30	0.145120686541176	G17	1	c	-0.922331183444842
S3:wt	0.00126302701415618	G17	1	a	-7.76655506293113
S3:bglu28bglu30	0.0165328607675395	G17	1	b	-4.05617608115706
S1500:wt	0.272910795372428	G17	2	f	0
S1500:bglu28bglu30	0.205570356416534	G17	2	e	-0.408797223050556
S30:wt	0.0546729074014703	G17	2	c	-2.31953146110842
S30:bglu28bglu30	0.0857683908166218	G17	2	d	-1.66991150531751
S3:wt	0.00515065146755366	G17	2	a	-5.72753073376733
S3:bglu28bglu30	0.0134442181560285	G17	2	b	-4.34337170026373
S1500:wt	0.162100739064252	G17	3	b	0
S1500:bglu28bglu30	0.168034130471163	G17	3	b	0.0518636291142356
S30:wt	0.21708739227352	G17	3	c	0.421385272836282
S30:bglu28bglu30	0.166533799674978	G17	3	b	0.0389243476484173
S3:wt	0.0197611428553486	G17	3	a	-3.03615237803522
S3:bglu28bglu30	0.033964921915758	G17	3	a	-2.25477322594116
S1500:wt	14.7534457023161	G18	1	c	0
S1500:bglu28bglu30	15.25507666274	G18	1	c	0.0482374913587228
S30:wt	7.1379244458695	G18	1	b	-1.04747540286913
S30:bglu28bglu30	8.1848297456584	G18	1	b	-0.850027626358826
S3:wt	0.76700490914552	G18	1	a	-4.26567231686205
S3:bglu28bglu30	0.856887971795733	G18	1	a	-4.10580152750432
S1500:wt	23.1045559824749	G18	2	c	0
S1500:bglu28bglu30	21.9110993950826	G18	2	c	-0.0765154906804399
S30:wt	5.15992835919725	G18	2	b	-2.16275442399937
S30:bglu28bglu30	4.64640242719985	G18	2	b	-2.31399134722376
S3:wt	2.30529215815949	G18	2	a	-3.32515585901545
S3:bglu28bglu30	2.25525505407269	G18	2	a	-3.35681485756329
S1500:wt	10.8208587924787	G18	3	b	0
S1500:bglu28bglu30	11.5976945142022	G18	3	b	0.100023040445433
S30:wt	13.2611422414205	G18	3	b	0.29339004403458
S30:bglu28bglu30	10.4768994714879	G18	3	b	-0.0466031729636329
S3:wt	0.838742684790245	G18	3	a	-3.68944291360696
S3:bglu28bglu30	0.530634778244612	G18	3	a	-4.3499519582133
S1500:wt	11.151749694909	G19	1	a	0
S1500:bglu28bglu30	13.7944376933999	G19	1	ab	0.306816564034361
S30:wt	10.8026955272551	G19	1	a	-0.0458787411264255
S30:bglu28bglu30	11.1145359870667	G19	1	a	-0.00482236530260703
S3:wt	15.1858007679565	G19	1	b	0.445452900919806
S3:bglu28bglu30	11.2717354454373	G19	1	a	0.0154395713519539
S1500:wt	21.2148303836232	G19	2	a	0
S1500:bglu28bglu30	23.3839938902095	G19	2	a	0.140448213239067
S30:wt	20.504851370141	G19	2	a	-0.0491078577721564
S30:bglu28bglu30	21.7991360407508	G19	2	a	0.039197814124814
S3:wt	25.2387175435646	G19	2	a	0.250565460366176
S3:bglu28bglu30	22.1427601169166	G19	2	a	0.0617619226212828
S1500:wt	8.46915865779192	G19	3	a	0
S1500:bglu28bglu30	8.60597736116407	G19	3	a	0.0231203885185627
S30:wt	9.52778716229489	G19	3	a	0.169922529105183
S30:bglu28bglu30	11.1017293465077	G19	3	a	0.390493864862662
S3:wt	10.0685633244119	G19	3	a	0.249567279240057
S3:bglu28bglu30	10.9709839402943	G19	3	a	0.373402358907946
S1500:wt	5.13476256518188	G20	1	b	0
S1500:bglu28bglu30	5.5514290615705	G20	1	b	0.112561634217547
S30:wt	5.26041522454521	G20	1	b	0.0348791144964283
S30:bglu28bglu30	5.68838233829484	G20	1	b	0.14772087044693
S3:wt	1.36489399050156	G20	1	a	-1.91150866361867
S3:bglu28bglu30	1.61208053944234	G20	1	a	-1.67137374429274
S1500:wt	6.24988282998103	G20	2	cd	0
S1500:bglu28bglu30	7.37461549155876	G20	2	d	0.238738686963564
S30:wt	4.92968554246581	G20	2	bc	-0.342333520923027
S30:bglu28bglu30	5.06755097932901	G20	2	bc	-0.302540445813635
S3:wt	4.73622834649213	G20	2	b	-0.400090504116141
S3:bglu28bglu30	3.46111538162595	G20	2	a	-0.852592106252302
S1500:wt	2.94219560745833	G20	3	b	0
S1500:bglu28bglu30	2.90274538286282	G20	3	b	-0.0194751350810517
S30:wt	2.92702153448573	G20	3	b	-0.0074598053108805
S30:bglu28bglu30	2.81270360727587	G20	3	b	-0.0649356306167886
S3:wt	2.30566042297959	G20	3	ab	-0.351713116281247
S3:bglu28bglu30	1.80356823096946	G20	3	a	-0.706039162297647
