sulfur,genotype,pot,sample,batch,value
S3,bglu28bglu30,2,3,2,98.6
S3,bglu28bglu30,2,4,2,41.9
S3,bglu28bglu30,2,5,2,54.7
S3,bglu28bglu30,2,6,2,104.63
S1500,wt,1,1,3,270.91
S1500,wt,1,2,3,351.04
S1500,wt,1,3,3,311.54
S1500,wt,1,4,3,288.2
S1500,wt,1,5,3,305.87
S1500,wt,1,6,3,308.32
S1500,wt,2,1,3,377.81
S1500,wt,2,2,3,442.95
S1500,wt,2,3,3,507.23
S1500,wt,2,4,3,450.42
S1500,wt,2,5,3,317.45
S1500,wt,2,6,3,282.57
S1500,bglu28bglu30,1,1,3,496.54
S1500,bglu28bglu30,1,2,3,318.76
S1500,bglu28bglu30,1,3,3,444.33
S1500,bglu28bglu30,1,4,3,285.62
S1500,bglu28bglu30,1,5,3,294.64
S1500,bglu28bglu30,1,6,3,297.87
S1500,bglu28bglu30,2,1,3,473.37
S1500,bglu28bglu30,2,2,3,462.72
S1500,bglu28bglu30,2,3,3,386.58
S1500,bglu28bglu30,2,4,3,262.87
S1500,bglu28bglu30,2,5,3,307.54
S1500,bglu28bglu30,2,6,3,297.91
S30,wt,1,1,3,367.74
S30,wt,1,2,3,330.87
S30,wt,1,3,3,247.79
S30,wt,1,4,3,287.23
S30,wt,1,5,3,245.62
S30,wt,1,6,3,381.46
S30,wt,2,1,3,273.25
S30,wt,2,2,3,403.61
S30,wt,2,3,3,275.11
S30,wt,2,4,3,279.95
S30,wt,2,5,3,262.98
S30,wt,2,6,3,273.73
S30,bglu28bglu30,1,1,3,360.98
S30,bglu28bglu30,1,2,3,307.8
S30,bglu28bglu30,1,3,3,282.35
S30,bglu28bglu30,1,4,3,391.72
S30,bglu28bglu30,1,5,3,311.52
S30,bglu28bglu30,1,6,3,224.71
S30,bglu28bglu30,2,1,3,365.94
S30,bglu28bglu30,2,2,3,343.87
S30,bglu28bglu30,2,3,3,252.47
S30,bglu28bglu30,2,4,3,312.34
S30,bglu28bglu30,2,5,3,213.38
S30,bglu28bglu30,2,6,3,225.56
S3,wt,1,1,3,191.97
S3,wt,1,2,3,170.91
