time,genotype,cpd,batch,value,relative
0h,medium,4MSB,1,20.75183255,92.08372109
0h,medium,4MSB,1,20.95029116,92.96435692
0h,medium,4MSB,2,25.12071042,111.4700828
0h,medium,4MSB,2,22.01524075,97.68994059
0h,medium,4MSB,3,23.64641327,104.9280693
0h,medium,4MSB,3,22.73050298,100.8638293
6min,medium,4MSB,1,23.50635888,104.3065951
6min,medium,4MSB,1,21.70821823,96.32756567
6min,medium,4MSB,2,24.75485488,109.8466435
6min,medium,4MSB,2,22.24438847,98.70675559
6min,medium,4MSB,3,25.92179789,115.0248105
6min,medium,4MSB,3,24.28697957,107.770504
3h,medium,4MSB,1,24.44299752,108.4628146
3h,medium,4MSB,1,22.36728061,99.25207445
3h,medium,4MSB,2,24.00837855,106.534246
3h,medium,4MSB,2,21.53975706,95.58003982
3h,medium,4MSB,3,24.89958892,110.4888831
3h,medium,4MSB,3,24.93674368,110.6537528
9h,medium,4MSB,1,22.82671915,101.2907768
9h,medium,4MSB,1,22.92005923,101.704962
9h,medium,4MSB,2,25.3814615,112.6271338
9h,medium,4MSB,2,23.66245786,104.9992652
9h,medium,4MSB,3,27.1511996,120.4801304
9h,medium,4MSB,3,30.94509909,137.3150958
24h,medium,4MSB,1,25.6594455,113.8606538
24h,medium,4MSB,1,22.37580965,99.28992102
24h,medium,4MSB,2,25.23239265,111.965659
24h,medium,4MSB,2,23.94540643,106.2548149
24h,medium,4MSB,3,29.15874563,129.3883706
24h,medium,4MSB,3,25.882974,114.8525343
48h,medium,4MSB,1,25.66188493,113.8714785
48h,medium,4MSB,1,24.93850252,110.6615575
48h,medium,4MSB,2,26.27697328,116.6008579
48h,medium,4MSB,2,23.27555565,103.2824339
48h,medium,4MSB,3,28.90715631,128.2719737
48h,medium,4MSB,3,24.14230808,107.1285419
