	p.letters$Letters[sort]
wtintact:0h	e
wtintact:6min	fg
wtintact:3h	d
wtintact:9h	c
wtintact:24h	b
wtintact:48h	a
wthomogenate:0h	e
wthomogenate:6min	a
wthomogenate:3h	a
wthomogenate:9h	a
wthomogenate:24h	a
wthomogenate:48h	a
medium:0h	e
medium:6min	efg
medium:3h	ef
medium:9h	fg
medium:24h	fg
medium:48h	g
