sulfur,genotype,compound,batch,value
PhE,wt,RA,3,0.507374623
PhE,wt,RA,4,0.599410154
PhE,wt,RA,5,0.498056853
PhE,wt,RA,6,0.275212483
I3G,wt,RA,1,0.007293893
I3G,wt,RA,2,0.014348297
I3G,wt,RA,3,0.022546341
I3G,wt,RA,4,0.016277571
I3G,wt,RA,5,0.031371717
I3G,wt,RA,6,0.014185521
S150,wt,RA,1,0.006664736
S150,wt,RA,2,0.002080015
S150,wt,RA,3,0.008754504
S150,wt,RA,4,0.015724704
S150,wt,RA,5,7.23233E-05
S150,wt,RA,6,0.006032434
S0,wt,RA,1,0.008940155
S0,wt,RA,2,7.35297E-05
S0,wt,RA,3,0.007892496
S0,wt,RA,4,0.008769299
S0,wt,RA,5,0.003085379
S0,wt,RA,6,7.4477E-05
