sulfur,genotype,cpd,isotope,batch,value
S1500,wt,4MSB,0,1,7.933543157
S1500,wt,4MSB,0,2,7.210563582
S1500,wt,4MSB,0,3,7.553187895
S1500,wt,4MSB,0,4,7.87043298
S1500,wt,4MSB,2,1,0.894706899
S1500,wt,4MSB,2,2,0.78966193
S1500,wt,4MSB,2,3,0.830712261
S1500,wt,4MSB,2,4,0.844446705
S150,wt,4MSB,0,1,0.105958665
S150,wt,4MSB,0,2,0.702619185
S150,wt,4MSB,0,3,0.183294381
S150,wt,4MSB,0,4,0.195647095
S150,wt,4MSB,2,1,0.012272612
S150,wt,4MSB,2,2,0.061260112
S150,wt,4MSB,2,3,0.008629234
S150,wt,4MSB,2,4,0.010871583
4MSB,wt,4MSB,0,1,0.480703554
4MSB,wt,4MSB,0,2,0.219145249
4MSB,wt,4MSB,0,3,0.238157734
4MSB,wt,4MSB,0,4,2.144819379
4MSB,wt,4MSB,2,1,0.0562508
4MSB,wt,4MSB,2,2,0.015886813
4MSB,wt,4MSB,2,3,0.012246955
4MSB,wt,4MSB,2,4,0.250091793
4MSB-34S,wt,4MSB,0,1,0.268475835
4MSB-34S,wt,4MSB,0,2,0.068988738
4MSB-34S,wt,4MSB,0,3,0.064295276
4MSB-34S,wt,4MSB,0,4,0.084810595
4MSB-34S,wt,4MSB,2,1,0.70684803
4MSB-34S,wt,4MSB,2,2,0.237131073
4MSB-34S,wt,4MSB,2,3,0.241698755
4MSB-34S,wt,4MSB,2,4,0.276594529
S1500,wt,4MTB,0,1,4.282357419
S1500,wt,4MTB,0,2,6.169290746
S1500,wt,4MTB,0,3,4.918162856
S1500,wt,4MTB,0,4,4.617365669
S1500,wt,4MTB,2,1,0.43085373
S1500,wt,4MTB,2,2,0.638386632
S1500,wt,4MTB,2,3,0.498925811
S1500,wt,4MTB,2,4,0.474820589
S150,wt,4MTB,0,1,0.055451084
S150,wt,4MTB,0,2,0.873396624
S150,wt,4MTB,0,3,0.155239906
S150,wt,4MTB,0,4,0.146658174
S150,wt,4MTB,2,1,0.004624427
S150,wt,4MTB,2,2,0.088634327
S150,wt,4MTB,2,3,0.020823288
S150,wt,4MTB,2,4,0.018456274
4MSB,wt,4MTB,0,1,0.254807447
4MSB,wt,4MTB,0,2,0.147536912
4MSB,wt,4MTB,0,3,0.227378191
4MSB,wt,4MTB,0,4,0.827658351
4MSB,wt,4MTB,2,1,0.027572348
4MSB,wt,4MTB,2,2,0.010838839
4MSB,wt,4MTB,2,3,0.030595212
4MSB,wt,4MTB,2,4,0.089696264
4MSB-34S,wt,4MTB,0,1,0.127659973
4MSB-34S,wt,4MTB,0,2,0.048733287
4MSB-34S,wt,4MTB,0,3,0.061713547
4MSB-34S,wt,4MTB,0,4,0.105053679
4MSB-34S,wt,4MTB,2,1,0.259696007
4MSB-34S,wt,4MTB,2,2,0.088207417
4MSB-34S,wt,4MTB,2,3,0.082392605
4MSB-34S,wt,4MTB,2,4,0.156410128
S1500,wt,4OHB,0,1,0.352910509
S1500,wt,4OHB,0,2,0.347601518
S1500,wt,4OHB,0,3,0.394993786
S1500,wt,4OHB,0,4,0.418237773
S1500,wt,4OHB,2,1,0.01892018
S1500,wt,4OHB,2,2,0.017110931
S1500,wt,4OHB,2,3,0.013541194
S1500,wt,4OHB,2,4,0.024402554
S150,wt,4OHB,0,1,0.016997078
S150,wt,4OHB,0,2,0.160902346
S150,wt,4OHB,0,3,0.023628138
S150,wt,4OHB,0,4,0.036166804
S150,wt,4OHB,2,1,0.000274982
S150,wt,4OHB,2,2,0.013297577
