sulfur,genotype,pot,sample,batch,cpd,value
S30,bglu28bglu30,2,1,1,G02,13.47293705
S30,bglu28bglu30,2,2,1,G02,14.54943532
S30,bglu28bglu30,2,3,1,G02,15.14154414
S30,bglu28bglu30,2,4,1,G02,17.23114492
S30,bglu28bglu30,2,5,1,G02,9.138509043
S30,bglu28bglu30,2,6,1,G02,12.52825818
S3,wt,1,1,1,G02,0.085686849
S3,wt,1,2,1,G02,0.067760257
S3,wt,1,3,1,G02,0.434854032
S3,wt,1,4,1,G02,0.176543094
S3,wt,1,5,1,G02,0.245323734
S3,wt,1,6,1,G02,0.282810733
S3,wt,2,1,1,G02,0.257728374
S3,wt,2,2,1,G02,0.097392095
S3,wt,2,3,1,G02,0.033443696
S3,wt,2,4,1,G02,0.026469018
S3,wt,2,5,1,G02,0.058812214
S3,wt,2,6,1,G02,0.025031283
S3,bglu28bglu30,1,1,1,G02,2.184682792
S3,bglu28bglu30,1,2,1,G02,1.092203802
S3,bglu28bglu30,1,3,1,G02,0.729836239
S3,bglu28bglu30,1,4,1,G02,0.986599385
S3,bglu28bglu30,1,5,1,G02,0.737595239
S3,bglu28bglu30,1,6,1,G02,2.483396325
S3,bglu28bglu30,2,1,1,G02,1.126227572
S3,bglu28bglu30,2,2,1,G02,0.732015593
S3,bglu28bglu30,2,3,1,G02,0.326062231
S3,bglu28bglu30,2,4,1,G02,1.344504771
S3,bglu28bglu30,2,5,1,G02,2.135446038
S3,bglu28bglu30,2,6,1,G02,1.179268448
S1500,wt,1,1,1,G03,1.941825828
S1500,wt,1,2,1,G03,1.706757879
S1500,wt,1,3,1,G03,1.46770294
S1500,wt,1,4,1,G03,1.627227139
S1500,wt,1,5,1,G03,1.521478965
S1500,wt,1,6,1,G03,1.78285795
S1500,wt,2,1,1,G03,1.592316546
S1500,wt,2,2,1,G03,1.523058923
S1500,wt,2,3,1,G03,1.649623564
S1500,wt,2,4,1,G03,1.324089491
S1500,wt,2,5,1,G03,1.589494779
S1500,wt,2,6,1,G03,1.50993608
S1500,bglu28bglu30,1,1,1,G03,1.721215792
S1500,bglu28bglu30,1,2,1,G03,1.545386984
S1500,bglu28bglu30,1,3,1,G03,1.886031597
S1500,bglu28bglu30,1,4,1,G03,1.507587963
