group	estim	cpd	letters	logFC
S1500:bglu2830	1.02252921899613	G09	d	0.214952559217712
S1500:tgg12	0.655907939953167	G09	bc	-0.425624265355695
S1500:tgg45	1.14317000420108	G09	d	0.37585045709967
S1500:pen2	1.02274933029052	G09	d	0.215263082666171
S1500:pyk10	0.915576033674682	G09	cd	0.0555620943240867
S1500:bglu18	1.08794764612166	G09	d	0.304419623471711
S15:Col	0.0244633041357665	G09	a	-5.17042642503205
S15:bglu2830	0.634321987935778	G09	b	-0.4739022525922
S15:tgg12	0.00611865293081313	G09	a	-7.16975972722138
S15:tgg45	0.00164932045802051	G09	a	-9.06110205719469
S15:pen2	0.00114455326302861	G09	a	-9.58818919269113
S15:pyk10	0.0268185429683566	G09	a	-5.03781484082463
S15:bglu18	0.0190608146847707	G09	a	-5.53043591635382
S1500:Col	1.0812146521732	G10	cde	0
S1500:bglu2830	1.00876813204907	G10	cd	-0.100058362542149
S1500:tgg12	0.869421312296312	G10	c	-0.314525601692924
S1500:tgg45	1.29347462537859	G10	de	0.2585987844374
S1500:pen2	1.19643746550677	G10	cde	0.14609202522463
S1500:pyk10	1.08543160479071	G10	cde	0.00561585380298192
S1500:bglu18	1.38676252417639	G10	e	0.359067786914673
S15:Col	0.0156821011214766	G10	a	-6.10739028992509
S15:bglu2830	0.331521333649887	G10	b	-1.70547935096289
S15:tgg12	0.00217431981479191	G10	a	-8.95787309452025
S15:tgg45	0.00204272321604073	G10	a	-9.04794351689291
S15:pen2	0.00107087428845432	G10	a	-9.97964812270127
S15:pyk10	0.0189484227785913	G10	a	-5.83443139079012
S15:bglu18	0.00491978332550907	G10	a	-7.77984247403261
S1500:Col	4.92097295394125	G11	c	0
S1500:bglu2830	4.78803952684502	G11	c	-0.0395085250693242
S1500:tgg12	4.41011371855107	G11	c	-0.158127729936174
S1500:tgg45	5.63068415285585	G11	cd	0.19436663941682
S1500:pen2	5.47654088716925	G11	cd	0.15432135319173
S1500:pyk10	5.08040070815191	G11	cd	0.0459987043326903
S1500:bglu18	6.50768583869289	G11	d	0.403201018650444
S15:Col	0.0653060091006628	G11	a	-6.23558403033592
S15:bglu2830	1.68453310779204	G11	b	-1.54659480387505
S15:tgg12	0.0145368735978137	G11	a	-8.40308275061335
S15:tgg45	0.00934392747333855	G11	a	-9.04069879578324
S15:pen2	0.0163693596968522	G11	a	-8.23180188657736
S15:pyk10	0.0919609657894742	G11	a	-5.74177815953712
S15:bglu18	0.0713400896073724	G11	a	-6.10808674918171
S1500:Col	19.8768787043441	G12	cd	0
S1500:bglu2830	19.5408129982965	G12	cd	-0.0246007340635152
S1500:tgg12	22.5287977190844	G12	de	0.180679098031268
S1500:tgg45	20.9324752355794	G12	cd	0.0746516921778429
S1500:pen2	21.4943261605835	G12	de	0.112864656907703
S1500:pyk10	17.4235643606767	G12	c	-0.19005143806574
S1500:bglu18	25.6965875380663	G12	e	0.37048555860788
S15:Col	0.156184852864968	G12	a	-6.99169287125577
S15:bglu2830	4.23104944634056	G12	b	-2.2320037751275
S15:tgg12	0.0539675121724567	G12	a	-8.52478432821161
S15:tgg45	0.0503930109306364	G12	a	-8.62365185238279
S15:pen2	0.0789548784936933	G12	a	-7.97584710018964
S15:pyk10	0.181659336538989	G12	a	-6.77371189970454
S15:bglu18	0.041583725117037	G12	a	-8.90085650857679
S1500:Col	0.0486803716071967	G13	c	0
S1500:bglu2830	0.0885120418926231	G13	e	0.862533563355071
S1500:tgg12	0.0208738805180834	G13	b	-1.22164135423069
S1500:tgg45	0.0687317884216719	G13	cde	0.497637318136549
S1500:pen2	0.0542993966440637	G13	cd	0.157595986323499
S1500:pyk10	0.0805066012170538	G13	de	0.725766902188541
S1500:bglu18	0.0688152439540358	G13	cde	0.499388005088803
S15:Col	0.00348701037104637	G13	a	-3.80327762098264
S15:bglu2830	0.212320149911153	G13	f	2.12482920826872
S15:tgg12	0.00446156149280235	G13	ab	-3.44771955154049
S15:tgg45	0.000955258201552278	G13	a	-5.67130563167577
S15:pen2	0.00233373353161986	G13	a	-4.38262843408993
S15:pyk10	0.0155030922558741	G13	b	-1.65078417607083
S15:bglu18	0.00537918314477517	G13	ab	-3.17788116683062
S1500:Col	0.317073752044209	G14	bc	0
S1500:bglu2830	0.305497444068338	G14	b	-0.0536581435556089
S1500:tgg12	0.351469206373614	G14	bc	0.14857984113565
S1500:tgg45	0.448741096318125	G14	cd	0.501064860630873
S1500:pen2	0.353118937226685	G14	bc	0.155335739291144
S1500:pyk10	0.261375940416772	G14	b	-0.278692105837602
S1500:bglu18	0.257384858741336	G14	b	-0.300891267214413
S15:Col	0.00899700933028311	G14	a	-5.13922912411178
S15:bglu2830	0.528025717910231	G14	d	0.735789745496027
S15:tgg12	0.0136268778930888	G14	a	-4.54029148974947
S15:tgg45	0.0015981051713335	G14	a	-7.63231228799693
S15:pen2	0.00461358958907826	G14	a	-6.10278497121836
S15:pyk10	0.0168619243660319	G14	a	-4.23297735513491
S15:bglu18	0.0145581654985599	G14	a	-4.44491797797782
S1500:Col	1.57655485134466	G15	d	0
S1500:bglu2830	2.40108130019705	G15	e	0.606908888798176
S1500:tgg12	0.805892652286821	G15	c	-0.968115780350971
S1500:tgg45	2.22039966888855	G15	de	0.494044018072469
S1500:pen2	2.05048076058653	G15	de	0.379186842093753
S1500:pyk10	2.47449084877871	G15	e	0.650356341803991
S1500:bglu18	1.99461414030479	G15	de	0.339334317932292
S15:Col	0.146881275836781	G15	ab	-3.42405296446535
S15:bglu2830	2.0722008518734	G15	de	0.394388480666888
S15:tgg12	0.0523231744815065	G15	a	-4.91318148202516
S15:tgg45	0.026827947719508	G15	a	-5.87689485903475
S15:pen2	0.0442253123665941	G15	a	-5.15575922196458
S15:pyk10	0.311919865441206	G15	b	-2.33752802240324
S15:bglu18	0.138594224423593	G15	ab	-3.50783632195953
S1500:Col	1.84725542296159	G16	ef	0
S1500:bglu2830	1.66883163186202	G16	ef	-0.146544955077196
S1500:tgg12	3.46761682770996	G16	g	0.908561125438941
S1500:tgg45	2.27369363686585	G16	f	0.299654511144728
S1500:pen2	2.20293205073093	G16	f	0.254041632044247
S1500:pyk10	1.27590891697228	G16	e	-0.533858020436867
S1500:bglu18	1.28733458485384	G16	e	-0.520996297736782
S15:Col	0.190694298264558	G16	bc	-3.27604975085505
S15:bglu2830	0.489052865891759	G16	d	-1.91732103194278
S15:tgg12	0.335813339918286	G16	cd	-2.45965191742277
S15:tgg45	0.0184944053022339	G16	a	-6.6421506430825
S15:pen2	0.0409770508334293	G16	ab	-5.49442339801279
S15:pyk10	0.251033370790581	G16	bcd	-2.87943229906115
S15:bglu18	0.249710677353619	G16	bcd	-2.88705394811453
S1500:Col	0.202865000372237	G17	d	0
S1500:bglu2830	0.216825533301372	G17	de	0.0960146748171223
S1500:tgg12	0.14820782584565	G17	c	-0.452898354605923
S1500:tgg45	0.23254543039838	G17	de	0.196992607504864
S1500:pen2	0.22441061035283	G17	de	0.14562090643182
S1500:pyk10	0.270571780427132	G17	e	0.415491396582034
S1500:bglu18	0.25583268670998	G17	de	0.33468062016132
S15:Col	0.00426232379335722	G17	a	-5.5727359793131
S15:bglu2830	0.0547218783258465	G17	b	-1.89033032653368
S15:tgg12	0.000182029053288912	G17	a	-10.1221355333815
S15:tgg45	0.000377532553872241	G17	a	-9.06970321732912
S15:pen2	0.000396443344743356	G17	a	-8.99918956102819
S15:pyk10	0.00298032422991055	G17	a	-6.08890688270204
S15:bglu18	0.00158829444614366	G17	a	-6.99689778147621
S1500:Col	6.33828164125396	G18	cd	0
S1500:bglu2830	6.19164983212728	G18	cd	-0.0337678848551581
S1500:tgg12	4.53675272399968	G18	b	-0.48243173958727
S1500:tgg45	6.59312946877103	G18	cd	0.056871644495905
S1500:pen2	5.60764971213473	G18	bc	-0.176695534565353
S1500:pyk10	5.90048711859786	G18	bcd	-0.103257705202672
S1500:bglu18	7.14564676266647	G18	d	0.172972830381603
S15:Col	0.0276577954336087	G18	a	-7.84026179125461
S15:bglu2830	0.0384579080718116	G18	a	-7.3646676679774
S15:tgg12	0.0298398232080433	G18	a	-7.73070896892187
S15:tgg45	0.00730394914852488	G18	a	-9.76119933085309
S15:pen2	0.00847761030224609	G18	a	-9.54621840160656
S15:pyk10	0.107015093606814	G18	a	-5.88820557076438
S15:bglu18	0.0380474316757218	G18	a	-7.38014888655709
S1500:Col	23.1971607583606	G19	cd	0
S1500:bglu2830	24.1326511998053	G19	cd	0.0570381820103179
S1500:tgg12	18.6007750685517	G19	c	-0.31858549824344
S1500:tgg45	29.5716111007283	G19	de	0.350264609610526
S1500:pen2	30.0681799322457	G19	de	0.37428930633056
S1500:pyk10	30.2346786109463	G19	de	0.38225600755419
S1500:bglu18	35.7495803054056	G19	e	0.623978069036998
S15:Col	0.717762836565564	G19	a	-5.01429719869725
S15:bglu2830	4.96913758014598	G19	b	-2.22288084458984
S15:tgg12	0.851155198053892	G19	a	-4.7683822114852
S15:tgg45	0.182647127830335	G19	a	-6.98874535855492
S15:pen2	0.181638805189123	G19	a	-6.99673197377842
S15:pyk10	1.41718937454686	G19	a	-4.03284377689594
S15:bglu18	0.260702499804736	G19	a	-6.4754000091628
S1500:Col	6.89460226929613	G20	cd	0
S1500:bglu2830	6.95027842128927	G20	cde	0.0116034429144205
S1500:tgg12	5.59624198291913	G20	c	-0.301008982667835
S1500:tgg45	8.66073262377897	G20	de	0.329021740736373
S1500:pen2	12.9646409332614	G20	f	0.911043015949952
S1500:pyk10	7.35825648883525	G20	cde	0.0938966366001395
S1500:bglu18	8.8105095163266	G20	e	0.353758124341531
S15:Col	0.518764256940593	G20	a	-3.73231634314167
S15:bglu2830	1.15990768085601	G20	b	-2.5714573457955
S15:tgg12	0.600638536065452	G20	ab	-3.52089838489587
S15:tgg45	0.384300722060419	G20	a	-4.16515973683049
S15:pen2	0.472615287451734	G20	a	-3.86672912769943
S15:pyk10	0.964584422510745	G20	ab	-2.83748791232078
S15:bglu18	0.430547959475507	G20	a	-4.0012214730573
