sulfur,genotype,cpd,batch,value
S1500,Col,G01,1,0.578196432
S1500,Col,G01,2,0.679577092
S1500,Col,G01,3,0.795097912
S1500,Col,G01,4,0.650691651
S1500,Col,G01,5,0.389817486
S1500,Col,G01,6,0.337166166
S1500,Col,G01,7,0.251794451
S1500,bglu2830,G01,1,0.440496318
S1500,bglu2830,G01,2,0.688641821
S1500,bglu2830,G01,3,0.74955879
S1500,bglu2830,G01,4,0.963083828
S1500,bglu2830,G01,5,0.299907279
S1500,bglu2830,G01,6,0.481970668
S1500,bglu2830,G01,7,0.296845301
S1500,tgg12,G01,5,0.284074393
S1500,tgg12,G01,6,0.520120004
S1500,tgg12,G01,7,0.47196908
S1500,tgg45,G01,1,0.815537036
S1500,tgg45,G01,2,0.473100377
S1500,tgg45,G01,3,0.665215997
S1500,tgg45,G01,4,0.635438753
S1500,pen2,G01,1,0.621697898
S1500,pen2,G01,2,0.713588514
S1500,pen2,G01,3,0.849883041
S1500,pen2,G01,4,0.62961879
S1500,pyk10,G01,1,0.427432069
S1500,pyk10,G01,2,0.869668404
S1500,pyk10,G01,3,0.334258282
S1500,pyk10,G01,4,0.425207063
S1500,bglu18,G01,1,0.774438497
S1500,bglu18,G01,2,1.170440904
S1500,bglu18,G01,3,0.922265083
S1500,bglu18,G01,4,0.921674892
S1500,Col,G02,1,6.032430897
S1500,Col,G02,2,5.384025049
S1500,Col,G02,3,6.134304871
S1500,Col,G02,4,6.767014133
S1500,Col,G02,5,4.952794803
S1500,Col,G02,6,4.563725934
S1500,Col,G02,7,4.950013743
S1500,bglu2830,G02,1,5.051246803
S1500,bglu2830,G02,2,7.738039243
S1500,bglu2830,G02,3,7.461320317
S1500,bglu2830,G02,4,8.733977812
S1500,bglu2830,G02,5,4.381863494
S1500,bglu2830,G02,6,5.27602183
S1500,bglu2830,G02,7,4.392415583
S1500,tgg12,G02,5,2.806364659
S1500,tgg12,G02,6,3.801621642
S1500,tgg12,G02,7,3.804180469
S1500,tgg45,G02,1,7.781714418
S1500,tgg45,G02,2,6.022928361
S1500,tgg45,G02,3,6.989602641
S1500,tgg45,G02,4,6.222924357
S1500,pen2,G02,1,6.155855356
S1500,pen2,G02,2,6.849668757
S1500,pen2,G02,3,6.782372793
S1500,pen2,G02,4,7.231683287
S1500,pyk10,G02,1,5.873804447
S1500,pyk10,G02,2,7.935941901
S1500,pyk10,G02,3,6.38988545
S1500,pyk10,G02,4,6.446060214
S1500,bglu18,G02,1,7.00187881
S1500,bglu18,G02,2,10.10967779
S1500,bglu18,G02,3,9.466460295
S1500,bglu18,G02,4,8.758447424
S1500,Col,G03,1,0.403758042
S1500,Col,G03,2,0.444609688
S1500,Col,G03,3,0.492449099
S1500,Col,G03,4,0.488570085
S1500,Col,G03,5,0.499721492
S1500,Col,G03,6,0.396466516
S1500,Col,G03,7,0.431054953
S1500,bglu2830,G03,1,0.265996769
S1500,bglu2830,G03,2,0.603499033
S1500,bglu2830,G03,3,0.498709443
S1500,bglu2830,G03,4,0.693912743
S1500,bglu2830,G03,5,0.333783822
S1500,bglu2830,G03,6,0.363174014
S1500,bglu2830,G03,7,0.37481004
S1500,tgg12,G03,5,0.326111963
S1500,tgg12,G03,6,0.412220162
S1500,tgg12,G03,7,0.341179233
S1500,tgg45,G03,1,0.557092323
S1500,tgg45,G03,2,0.482024908
S1500,tgg45,G03,3,0.43766529
S1500,tgg45,G03,4,0.538052284
S1500,pen2,G03,1,0.475988454
S1500,pen2,G03,2,0.545938576
S1500,pen2,G03,3,0.441010916
S1500,pen2,G03,4,0.543590414
S1500,pyk10,G03,1,0.505159322
S1500,pyk10,G03,2,0.647204138
S1500,pyk10,G03,3,0.506538495
S1500,pyk10,G03,4,0.473157541
S1500,bglu18,G03,1,0.422790255
S1500,bglu18,G03,2,0.621429581
S1500,bglu18,G03,3,0.673210054
S1500,bglu18,G03,4,0.841151796
S1500,Col,G04,1,0.185456206
S1500,Col,G04,2,0.443676147
S1500,Col,G04,3,0.201531543
S1500,Col,G04,4,0.253844077
S1500,Col,G04,5,0.309347483
S1500,Col,G04,6,0.262745075
S1500,Col,G04,7,0.237253015
S1500,bglu2830,G04,1,0.125227239
S1500,bglu2830,G04,2,0.425758544
S1500,bglu2830,G04,3,0.408948859
S1500,bglu2830,G04,4,0.221035735
S1500,bglu2830,G04,5,0.22692604
S1500,bglu2830,G04,6,0.181969276
S1500,bglu2830,G04,7,0.119699433
S1500,tgg12,G04,5,0.102011602
