time,genotype,treatment,cpd,batch,value
09h,pad2,4MSB,GSH,3,0.082498519
09h,pad2,4MSB,GSH,4,0.018875946
24h,pad2,4MSB,GSH,1,0.014773363
24h,pad2,4MSB,GSH,2,0.028925815
24h,pad2,4MSB,GSH,3,0.080096779
24h,pad2,4MSB,GSH,4,0.052043177
48h,pad2,4MSB,GSH,1,0.059491404
48h,pad2,4MSB,GSH,2,0.00686395
48h,pad2,4MSB,GSH,3,0.242172175
48h,pad2,4MSB,GSH,4,0.07670915
00h,wt,BSO_4MSB,GSH,1,0.179593946
00h,wt,BSO_4MSB,GSH,2,0.148497886
00h,wt,BSO_4MSB,GSH,3,0.14131986
00h,wt,BSO_4MSB,GSH,4,0.145907619
09h,wt,BSO_4MSB,GSH,1,0.004312403
09h,wt,BSO_4MSB,GSH,2,0.004849224
09h,wt,BSO_4MSB,GSH,3,0.001742128
09h,wt,BSO_4MSB,GSH,4,0.000122078
24h,wt,BSO_4MSB,GSH,1,0.008368608
24h,wt,BSO_4MSB,GSH,2,0.00640381
24h,wt,BSO_4MSB,GSH,3,0.061587921
24h,wt,BSO_4MSB,GSH,4,0.042151426
48h,wt,BSO_4MSB,GSH,1,0.009556128
48h,wt,BSO_4MSB,GSH,2,0.013652368
48h,wt,BSO_4MSB,GSH,3,0.056671661
48h,wt,BSO_4MSB,GSH,4,0.032122335
00h,wt,4MSB,RA,1,0.056674666
00h,wt,4MSB,RA,2,0.060705753
00h,wt,4MSB,RA,3,0.012154053
00h,wt,4MSB,RA,4,0.05681003
09h,wt,4MSB,RA,1,1.860921663
09h,wt,4MSB,RA,2,0.740397014
09h,wt,4MSB,RA,3,2.219185848
09h,wt,4MSB,RA,4,0.013578266
24h,wt,4MSB,RA,1,3.123164091
24h,wt,4MSB,RA,2,3.002924212
24h,wt,4MSB,RA,3,2.971460914
24h,wt,4MSB,RA,4,3.46658693
48h,wt,4MSB,RA,1,2.768022191
48h,wt,4MSB,RA,2,2.510710439
48h,wt,4MSB,RA,3,1.534496555
48h,wt,4MSB,RA,4,2.413922079
00h,pad2,4MSB,RA,1,0.045645564
00h,pad2,4MSB,RA,2,0.182627568
00h,pad2,4MSB,RA,3,0.008979439
00h,pad2,4MSB,RA,4,0.012124672
