time,genotype,treatment,cpd,batch,value,relative
09h,pad2,4MSB,SFN,4,17.13227832,149.9438075
24h,pad2,4MSB,SFN,1,6.953880638,60.86121885
24h,pad2,4MSB,SFN,2,12.86171436,112.5673064
24h,pad2,4MSB,SFN,3,15.84012074,138.6346855
24h,pad2,4MSB,SFN,4,17.27334318,151.1784246
33h,pad2,4MSB,SFN,1,4.671760532,40.88782293
33h,pad2,4MSB,SFN,3,11.39503032,99.73070728
33h,pad2,4MSB,SFN,4,12.88397408,112.7621263
48h,pad2,4MSB,SFN,1,1.81119931,15.85183919
48h,pad2,4MSB,SFN,2,3.318657051,29.04529479
48h,pad2,4MSB,SFN,3,5.291115864,46.30849699
48h,pad2,4MSB,SFN,4,6.000476727,52.51691053
00h,wt,BSO_4MSB,SFN,1,0.141239659,1.236146871
00h,wt,BSO_4MSB,SFN,2,0.277881759,2.432055338
00h,wt,BSO_4MSB,SFN,3,0.346640883,3.033843652
00h,wt,BSO_4MSB,SFN,4,0.316949696,2.773982736
03h,wt,BSO_4MSB,SFN,1,8.778159693,76.82753358
03h,wt,BSO_4MSB,SFN,2,7.957059795,69.64116625
03h,wt,BSO_4MSB,SFN,3,12.68294929,111.0027325
03h,wt,BSO_4MSB,SFN,4,12.28578881,107.5267352
09h,wt,BSO_4MSB,SFN,1,17.26745158,151.1268605
09h,wt,BSO_4MSB,SFN,2,17.14766036,150.0784331
09h,wt,BSO_4MSB,SFN,3,24.20312927,211.828765
09h,wt,BSO_4MSB,SFN,4,22.74184891,199.0394595
24h,wt,BSO_4MSB,SFN,1,16.8336684,147.3303368
24h,wt,BSO_4MSB,SFN,2,13.001812,113.7934582
24h,wt,BSO_4MSB,SFN,3,18.99468131,166.2437877
24h,wt,BSO_4MSB,SFN,4,21.34375142,186.8031382
33h,wt,BSO_4MSB,SFN,1,10.51994676,92.07186827
33h,wt,BSO_4MSB,SFN,3,15.150936,132.6028558
33h,wt,BSO_4MSB,SFN,4,16.61497562,145.4163107
48h,wt,BSO_4MSB,SFN,1,6.276590695,54.93349395
48h,wt,BSO_4MSB,SFN,2,1.477024037,12.92709608
48h,wt,BSO_4MSB,SFN,3,6.439650444,56.36061293
48h,wt,BSO_4MSB,SFN,4,10.85368086,94.99275021
